url_length,num_dots,num_hyphens,num_underscores,num_slashes,num_digits,num_params,has_ip,has_https,suspicious_tld,domain_length,num_subdomains,has_at_symbol,has_double_slash,entropy,label
38,1,0,0,1,4,2,0,1,0,15,1,0,0,2.5005629167085326,0
180,8,6,2,6,18,7,0,1,1,36,2,0,0,4.417779342083569,1
64,8,7,3,8,7,5,1,0,0,33,4,0,0,4.92332830588,1
63,4,3,1,4,9,3,1,0,0,22,4,0,0,3.7733541316820935,1
51,8,7,2,4,8,7,0,1,1,24,3,1,1,3.9898111532087532,1
89,7,6,2,9,9,9,1,0,1,23,2,1,0,4.980330404900776,1
178,6,4,3,3,12,4,1,1,1,23,5,1,1,3.996347037278974,1
111,7,4,4,8,15,4,1,0,1,15,2,0,1,4.240693394546586,1
24,1,1,0,2,3,0,0,1,0,5,1,0,0,2.8449133579645753,0
192,5,6,4,7,11,4,1,1,1,39,2,1,1,3.779855088329054,1
124,4,5,1,9,18,2,0,1,0,27,2,0,0,4.301134129063163,1
100,4,5,4,9,15,7,0,0,1,31,3,1,0,4.245872758838578,1
46,1,1,0,1,2,0,0,1,0,11,0,0,0,2.5176068720400244,0
28,2,1,0,1,3,1,0,1,0,8,0,0,0,3.1424294229930765,0
26,1,1,0,1,3,1,0,1,0,5,0,0,0,2.481170097457604,0
142,5,5,4,5,8,4,1,1,0,21,5,1,0,4.27662702579122,1
178,5,5,1,3,6,8,1,1,0,30,3,1,0,3.8912437622456135,1
57,2,1,0,1,4,2,0,0,0,7,1,0,0,3.269991713357459,0
103,3,5,3,3,12,5,1,1,0,39,4,1,0,3.9580457905165902,1
103,5,6,1,6,5,5,0,0,1,22,4,1,0,4.313810345832349,1
31,1,1,0,2,4,2,0,1,0,6,0,0,0,2.7539556396577884,0
160,3,6,4,7,7,5,0,1,0,28,2,1,1,4.92960777053593,1
58,2,0,0,3,2,0,0,0,0,11,0,0,0,2.4753830077344166,0
67,3,3,3,8,14,4,1,0,1,36,4,0,0,4.816059607891933,1
49,1,0,0,3,4,1,0,1,0,13,1,0,0,3.3698608288347067,0
184,3,5,1,6,5,9,1,1,1,37,4,0,0,4.367420211494261,1
100,3,3,3,8,17,7,1,0,0,20,4,0,0,4.283364890082207,1
53,2,0,0,3,3,1,0,0,0,19,0,0,0,2.9561448522473097,0
193,7,3,4,4,18,4,1,0,1,37,3,0,1,4.753970180768309,1
21,1,0,0,2,1,0,0,1,0,10,1,0,0,2.274298995660961,0
10,2,0,0,3,4,1,0,1,0,14,1,0,0,2.2379696714637367,0
78,8,5,1,9,5,7,1,1,1,30,2,0,0,4.15077747385696,1
19,2,0,0,2,3,2,0,0,1,5,1,0,0,2.9880404474284177,0
65,9,3,1,6,15,5,1,0,1,15,2,0,1,4.079153956701162,1
49,2,0,0,1,4,2,0,1,0,6,0,0,0,2.50483132233309,0
57,7,3,2,4,18,3,0,0,1,32,2,1,0,4.126919047573368,1
45,2,0,0,1,2,0,0,1,0,5,0,0,0,2.870816018515865,0
41,1,1,0,1,4,2,0,1,0,5,0,0,0,2.757878558671786,0
135,7,4,3,3,8,5,1,1,0,28,4,1,0,4.447755818254699,1
14,1,1,0,1,3,2,0,1,1,13,0,0,0,2.1368091545730357,0
191,9,3,1,5,11,6,1,0,0,24,3,0,0,3.6261602091724963,1
49,2,0,0,2,2,1,0,0,0,10,0,0,0,2.871958125840173,0
10,2,1,0,1,0,0,0,1,0,19,0,0,0,3.1657203738911552,0
140,4,3,3,9,18,4,0,0,1,34,5,1,1,4.616317485414947,1
22,2,1,0,1,3,0,0,0,0,9,1,0,0,3.203163873540101,0
41,1,0,0,3,4,1,0,1,1,8,0,0,0,3.0431166846599713,0
27,1,0,0,1,0,0,0,1,0,11,0,0,0,3.3728815125036595,0
65,8,5,4,6,9,9,0,1,0,32,5,0,1,4.979316116719405,1
194,3,2,1,6,17,5,0,0,0,20,3,0,0,4.878764827753339,1
